"id","name","race","effect"
1,"Afpak","hybrid","Relaxed"
1,"Afpak","hybrid","Happy"
1,"Afpak","hybrid","Hungry"
1,"Afpak","hybrid","Sleepy"
1,"Afpak","hybrid","Dizzy"
1,"Afpak","hybrid","Depression"
1,"Afpak","hybrid","Stress"
1,"Afpak","hybrid","Lack of Appetite"
1,"Afpak","hybrid","Insomnia"
1,"Afpak","hybrid","Pain"
2,"African","sativa","Creative"
2,"African","sativa","Happy"
2,"African","sativa","Euphoric"
2,"African","sativa","Energetic"
2,"African","sativa","Talkative"
2,"African","sativa","Stress"
2,"African","sativa","Depression"
2,"African","sativa","Lack of Appetite"
2,"African","sativa","Pain"
2,"African","sativa","Nausea"
2,"African","sativa","Dry Mouth"
2,"African","sativa","Headache"
3,"Afternoon Delight","hybrid","Relaxed"
3,"Afternoon Delight","hybrid","Uplifted"
3,"Afternoon Delight","hybrid","Euphoric"
3,"Afternoon Delight","hybrid","Tingly"
3,"Afternoon Delight","hybrid","Hungry"
3,"Afternoon Delight","hybrid","Depression"
3,"Afternoon Delight","hybrid","Insomnia"
3,"Afternoon Delight","hybrid","Cramps"
3,"Afternoon Delight","hybrid","Pain"
3,"Afternoon Delight","hybrid","Stress"
3,"Afternoon Delight","hybrid","Dizzy"
3,"Afternoon Delight","hybrid","Dry Mouth"
3,"Afternoon Delight","hybrid","Headache"
3,"Afternoon Delight","hybrid","Paranoid"
4,"Afwreck","hybrid","Uplifted"
4,"Afwreck","hybrid","Happy"
4,"Afwreck","hybrid","Sleepy"
4,"Afwreck","hybrid","Relaxed"
4,"Afwreck","hybrid","Creative"
4,"Afwreck","hybrid","Fatigue"
4,"Afwreck","hybrid","Stress"
4,"Afwreck","hybrid","Headaches"
4,"Afwreck","hybrid","Pain"
4,"Afwreck","hybrid","Muscle Spasms"
4,"Afwreck","hybrid","Headache"
4,"Afwreck","hybrid","Dry Mouth"
4,"Afwreck","hybrid","Dry Eyes"
4,"Afwreck","hybrid","Dizzy"
4,"Afwreck","hybrid","Paranoid"
5,"Agent Orange","hybrid","Happy"
5,"Agent Orange","hybrid","Uplifted"
5,"Agent Orange","hybrid","Relaxed"
5,"Agent Orange","hybrid","Energetic"
5,"Agent Orange","hybrid","Euphoric"
5,"Agent Orange","hybrid","Stress"
5,"Agent Orange","hybrid","Depression"
5,"Agent Orange","hybrid","Pain"
5,"Agent Orange","hybrid","Headaches"
5,"Agent Orange","hybrid","Nausea"
5,"Agent Orange","hybrid","Dry Mouth"
5,"Agent Orange","hybrid","Dry Eyes"
5,"Agent Orange","hybrid","Paranoid"
5,"Agent Orange","hybrid","Dizzy"
5,"Agent Orange","hybrid","Headache"
6,"Agent Tangie","hybrid","Happy"
6,"Agent Tangie","hybrid","Uplifted"
6,"Agent Tangie","hybrid","Creative"
6,"Agent Tangie","hybrid","Euphoric"
6,"Agent Tangie","hybrid","Focused"
6,"Agent Tangie","hybrid","Depression"
6,"Agent Tangie","hybrid","Stress"
6,"Agent Tangie","hybrid","Fatigue"
6,"Agent Tangie","hybrid","Cramps"
6,"Agent Tangie","hybrid","Eye Pressure"
6,"Agent Tangie","hybrid","Dry Eyes"
6,"Agent Tangie","hybrid","Dry Mouth"
7,"Al's Dream","hybrid","Energetic"
7,"Al's Dream","hybrid","Talkative"
8,"Alaska","sativa","Happy"
8,"Alaska","sativa","Energetic"
8,"Alaska","sativa","Euphoric"
8,"Alaska","sativa","Relaxed"
8,"Alaska","sativa","Focused"
8,"Alaska","sativa","Stress"
8,"Alaska","sativa","Depression"
8,"Alaska","sativa","Pain"
8,"Alaska","sativa","Lack of Appetite"
8,"Alaska","sativa","Headaches"
8,"Alaska","sativa","Paranoid"
8,"Alaska","sativa","Anxious"
8,"Alaska","sativa","Dry Eyes"
8,"Alaska","sativa","Dizzy"
9,"Alaska Thunder Grape","hybrid","Creative"
9,"Alaska Thunder Grape","hybrid","Euphoric"
9,"Alaska Thunder Grape","hybrid","Focused"
9,"Alaska Thunder Grape","hybrid","Relaxed"
9,"Alaska Thunder Grape","hybrid","Tingly"
9,"Alaska Thunder Grape","hybrid","Eye Pressure"
9,"Alaska Thunder Grape","hybrid","Pain"
9,"Alaska Thunder Grape","hybrid","Stress"
10,"Alaskan Ice","sativa","Uplifted"
10,"Alaskan Ice","sativa","Euphoric"
10,"Alaskan Ice","sativa","Happy"
10,"Alaskan Ice","sativa","Energetic"
10,"Alaskan Ice","sativa","Creative"
10,"Alaskan Ice","sativa","Fatigue"
10,"Alaskan Ice","sativa","Depression"
10,"Alaskan Ice","sativa","Stress"
10,"Alaskan Ice","sativa","Pain"
10,"Alaskan Ice","sativa","Headaches"
10,"Alaskan Ice","sativa","Dry Mouth"
10,"Alaskan Ice","sativa","Paranoid"
10,"Alaskan Ice","sativa","Dry Eyes"
10,"Alaskan Ice","sativa","Dizzy"
11,"Alaskan Thunder Fuck","sativa","Happy"
11,"Alaskan Thunder Fuck","sativa","Euphoric"
11,"Alaskan Thunder Fuck","sativa","Uplifted"
11,"Alaskan Thunder Fuck","sativa","Energetic"
11,"Alaskan Thunder Fuck","sativa","Relaxed"
11,"Alaskan Thunder Fuck","sativa","Stress"
11,"Alaskan Thunder Fuck","sativa","Depression"
11,"Alaskan Thunder Fuck","sativa","Pain"
11,"Alaskan Thunder Fuck","sativa","Fatigue"
11,"Alaskan Thunder Fuck","sativa","Lack of Appetite"
11,"Alaskan Thunder Fuck","sativa","Dry Mouth"
11,"Alaskan Thunder Fuck","sativa","Dry Eyes"
11,"Alaskan Thunder Fuck","sativa","Paranoid"
11,"Alaskan Thunder Fuck","sativa","Headache"
11,"Alaskan Thunder Fuck","sativa","Dizzy"
12,"Albert Walker","hybrid","Happy"
12,"Albert Walker","hybrid","Euphoric"
12,"Albert Walker","hybrid","Hungry"
12,"Albert Walker","hybrid","Focused"
12,"Albert Walker","hybrid","Relaxed"
12,"Albert Walker","hybrid","Pain"
12,"Albert Walker","hybrid","Depression"
12,"Albert Walker","hybrid","Insomnia"
12,"Albert Walker","hybrid","Muscle Spasms"
12,"Albert Walker","hybrid","Stress"
12,"Albert Walker","hybrid","Dry Eyes"
12,"Albert Walker","hybrid","Dry Mouth"
12,"Albert Walker","hybrid","Headache"
12,"Albert Walker","hybrid","Dizzy"
12,"Albert Walker","hybrid","Paranoid"
13,"Alchemy","hybrid","Relaxed"
13,"Alchemy","hybrid","Uplifted"
13,"Alchemy","hybrid","Hungry"
13,"Alchemy","hybrid","Sleepy"
13,"Alchemy","hybrid","Tingly"
13,"Alchemy","hybrid","Eye Pressure"
13,"Alchemy","hybrid","Insomnia"
13,"Alchemy","hybrid","Stress"
13,"Alchemy","hybrid","Fatigue"
13,"Alchemy","hybrid","Headaches"
14,"Alf","hybrid","Relaxed"
14,"Alf","hybrid","Euphoric"
14,"Alf","hybrid","Creative"
14,"Alf","hybrid","Giggly"
14,"Alf","hybrid","Happy"
14,"Alf","hybrid","Depression"
14,"Alf","hybrid","Insomnia"
14,"Alf","hybrid","Muscle Spasms"
14,"Alf","hybrid","Stress"
14,"Alf","hybrid","Dry Mouth"
15,"Alice in Wonderland","sativa","Relaxed"
15,"Alice in Wonderland","sativa","Happy"
15,"Alice in Wonderland","sativa","Uplifted"
15,"Alice in Wonderland","sativa","Euphoric"
15,"Alice in Wonderland","sativa","Focused"
15,"Alice in Wonderland","sativa","Stress"
15,"Alice in Wonderland","sativa","Fatigue"
15,"Alice in Wonderland","sativa","Depression"
15,"Alice in Wonderland","sativa","Lack of Appetite"
15,"Alice in Wonderland","sativa","Muscle Spasms"
15,"Alice in Wonderland","sativa","Dry Mouth"
15,"Alice in Wonderland","sativa","Dry Eyes"
15,"Alice in Wonderland","sativa","Anxious"
15,"Alice in Wonderland","sativa","Dizzy"
16,"Alien Abduction","hybrid","Dry Mouth"
16,"Alien Abduction","hybrid","Happy"
16,"Alien Abduction","hybrid","Relaxed"
